symbol,date,close,rsi,macd,sma20,avg_sentiment,news_count
CEATLTD,2025-05-16,3831.5,78.42,38.03,3411.56,0.1638,10
CENTRALBK,2025-05-16,36.49,46.14,0.3,36.61,0.1456,10
CDSL,2025-05-16,1408.8,67.39,5.02,1311.54,0.3468,10
CENTURYPLY,2025-05-16,736.15,57.4,3.76,716.48,0.2111,10
CERA,2025-05-16,6537.5,72.71,124.21,5780.32,0.1973,10
CHALET,2025-05-16,902.9,65.9,10.22,833.92,0.1677,10
CHAMBLFERT,2025-05-16,632.1,39.37,-11.21,682.29,0.0063,10
CHENNPETRO,2025-05-16,646.75,63.06,0.64,622.31,0.2723,10
CHOLAHLDNG,2025-05-16,1867.9,53.82,-9.45,1876.42,0.1386,5
CHOLAFIN,2025-05-16,1619.3,60.81,6.24,1557.56,0.0892,10
CIPLA,2025-05-16,1499.9,49.49,-4.42,1519.27,0.1788,10
CUB,2025-05-16,193.58,67.27,0.91,182.09,0.2863,10
