symbol,date,close,rsi,macd,sma20
GRSE,2025-05-16,2481.7,80.41,53.71,1878.36
GICRE,2025-05-16,436.25,60.13,0.56,420.68
GILLETTE,2025-05-16,8610.0,69.3,51.29,8066.68
GLAND,2025-05-16,1469.4,54.45,10.07,1435.96
GLAXO,2025-05-16,2828.6,51.32,-7.85,2842.68
GLENMARK,2025-05-16,1448.6,56.22,7.25,1402.07
MEDANTA,2025-05-16,1201.1,46.53,1.19,1220.13
GODIGIT,2025-05-16,299.55,55.43,0.87,295.34
GPIL,2025-05-16,201.71,59.74,1.65,191.35
GODFRYPHLP,2025-05-16,8718.5,62.03,-7.32,8326.95
GODREJAGRO,2025-05-16,732.7,49.93,1.37,735.42
GODREJCP,2025-05-16,1299.5,70.28,-1.11,1256.35
GODREJIND,2025-05-16,1143.3,53.95,3.18,1121.63
GODREJPROP,2025-05-16,2176.1,56.0,2.91,2113.61
GRANULES,2025-05-16,505.6,63.72,6.96,467.61
GRAPHITE,2025-05-16,486.4,57.7,2.2,467.98
GRASIM,2025-05-16,2804.2,61.17,0.23,2735.6
GRAVITA,2025-05-16,2030.2,62.99,7.77,1893.11
GESHIP,2025-05-16,972.75,63.34,7.42,896.22
FLUOROCHEM,2025-05-16,3912.7,53.19,-4.72,3906.56
GUJGASLTD,2025-05-16,469.45,61.13,-0.19,458.55
GMDCLTD,2025-05-16,354.6,70.91,2.36,315.39
GNFC,2025-05-16,510.45,57.73,2.58,494.91
GPPL,2025-05-16,144.96,59.63,0.86,139.73
GSPL,2025-05-16,350.4,69.0,2.06,326.61
HEG,2025-05-16,490.6,60.73,1.48,467.19
HBLENGINE,2025-05-16,568.75,66.82,8.3,510.73
HCLTECH,2025-05-16,1659.9,61.71,13.53,1572.86
HDFCAMC,2025-05-16,4737.3,67.74,17.69,4455.69
HDFCBANK,2025-05-16,1934.7,57.79,-5.85,1925.72
HDFCLIFE,2025-05-16,750.55,66.97,0.61,725.03
HFCL,2025-05-16,88.43,60.83,1.17,82.03
HAPPSTMNDS,2025-05-16,604.6,52.71,3.9,591.12
HAVELLS,2025-05-16,1577.4,51.56,-3.78,1596.74
HEROMOTOCO,2025-05-16,4345.3,74.41,48.8,3929.53
HSCL,2025-05-16,461.9,57.55,1.2,449.19
HINDALCO,2025-05-16,657.55,57.9,4.76,632.04
HAL,2025-05-16,5127.7,76.9,38.6,4496.47
HINDCOPPER,2025-05-16,226.0,55.87,1.86,218.03
HINDPETRO,2025-05-16,410.05,64.82,-0.31,392.57
HINDUNILVR,2025-05-16,2381.4,57.69,-1.85,2356.28
HINDZINC,2025-05-16,442.3,54.17,1.11,436.25
POWERINDIA,2025-05-16,15803.0,64.93,102.17,14637.75
HOMEFIRST,2025-05-16,1166.8,52.39,-10.13,1201.96
HONASA,2025-05-16,261.7,70.26,1.0,245.36
HONAUT,2025-05-16,38820.0,76.09,395.72,35101.75
HUDCO,2025-05-16,233.86,61.32,-0.45,223.81
HYUNDAI,2025-05-16,1855.6,70.78,14.95,1732.37
ICICIBANK,2025-05-16,1454.0,63.86,-2.05,1425.58
ICICIGI,2025-05-16,1849.6,53.72,-0.72,1842.72
ICICIPRULI,2025-05-16,615.6,61.2,0.65,601.96
IDBI,2025-05-16,86.0,62.92,0.5,81.75
IDFCFIRSTB,2025-05-16,69.26,65.21,0.04,67.1
IFCI,2025-05-16,51.77,71.72,0.77,43.65
IIFL,2025-05-16,413.95,70.46,4.85,372.57
INOXINDIA,2025-05-16,1160.55,76.6,15.83,1027.15
IRB,2025-05-16,51.21,68.41,0.56,47.25
IRCON,2025-05-16,188.88,72.59,3.1,161.13
ITC,2025-05-16,435.7,59.57,-0.4,430.06
